/home/fengty/miniconda3/envs/test/lib/python3.10/pickle.py:1718: UserWarning: [10:30:52] WARNING: /workspace/src/collective/../data/../common/error_msg.h:82: If you are loading a serialized model (like pickle in Python, RDS in R) or
configuration generated by an older version of XGBoost, please export the model by calling
`Booster.save_model` from that version first, then load it back in current version. See:

    https://xgboost.readthedocs.io/en/stable/tutorials/saving_model.html

for more details about differences between saving model and serializing.

  setstate(state)
/home/fengty/moo/Ai/MooBusiness.py:64: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  fe = torch.tensor(fe).to(self.device)
select device GPU
==========================================================
n_gen  |  n_eval  | n_nds  |      eps      |   indicator  
==========================================================
     1 |      101 |      1 |             - |             -
     2 |      202 |      1 |  1.8136138916 |         ideal
     3 |      303 |      1 |  5.9221649170 |         ideal
     4 |      404 |      1 |  1.129190E+01 |         ideal
     5 |      505 |      1 |  0.000000E+00 |             f
     6 |      606 |      1 |  5.8693084717 |         ideal
     7 |      707 |      1 |  6.2963409424 |         ideal
     8 |      808 |      1 |  3.3644104004 |         ideal
     9 |      909 |      1 |  2.6698608398 |         ideal
    10 |     1010 |      1 |  5.7050018311 |         ideal
    11 |     1111 |      1 |  2.7584228516 |         ideal
    12 |     1212 |      1 |  1.9239044189 |         ideal
    13 |     1313 |      1 |  3.3073425293 |         ideal
    14 |     1414 |      1 |  5.0244140625 |         ideal
    15 |     1515 |      1 |  0.7587127686 |         ideal
    16 |     1616 |      1 |  0.000000E+00 |             f
    17 |     1717 |      1 |  1.8528289795 |         ideal
    18 |     1818 |      1 |  0.2125396729 |         ideal
    19 |     1919 |      1 |  1.6126861572 |         ideal
    20 |     2020 |      1 |  0.0028839111 |         ideal
    21 |     2121 |      1 |  2.0685577393 |         ideal
    22 |     2222 |      1 |  1.6348724365 |         ideal
    23 |     2323 |      1 |  1.4762420654 |         ideal
    24 |     2424 |      1 |  0.000000E+00 |             f
    25 |     2525 |      1 |  0.000000E+00 |             f
    26 |     2626 |      1 |  0.000000E+00 |             f
    27 |     2727 |      1 |  0.6437988281 |         ideal
    28 |     2828 |      1 |  0.000000E+00 |             f
    29 |     2929 |      1 |  1.8184509277 |         ideal
    30 |     3030 |      1 |  0.000000E+00 |             f
