/home/fengty/miniconda3/envs/test/lib/python3.10/pickle.py:1718: UserWarning: [10:30:52] WARNING: /workspace/src/collective/../data/../common/error_msg.h:82: If you are loading a serialized model (like pickle in Python, RDS in R) or
configuration generated by an older version of XGBoost, please export the model by calling
`Booster.save_model` from that version first, then load it back in current version. See:

    https://xgboost.readthedocs.io/en/stable/tutorials/saving_model.html

for more details about differences between saving model and serializing.

  setstate(state)
/home/fengty/moo/Ai/MooResident.py:63: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  fe = torch.tensor(fe).to(self.device)
select device GPU
==========================================================
n_gen  |  n_eval  | n_nds  |      eps      |   indicator  
==========================================================
     1 |      101 |      3 |             - |             -
     2 |      202 |      5 |  0.2290632096 |         ideal
     3 |      303 |      6 |  0.0508981463 |         ideal
     4 |      404 |      5 |  0.2934961281 |         ideal
     5 |      505 |      5 |  0.0707164179 |         ideal
     6 |      606 |      7 |  0.0649472264 |             f
     7 |      707 |      5 |  0.0102906652 |         ideal
     8 |      808 |      7 |  0.1298745780 |         ideal
     9 |      909 |      7 |  0.0263485221 |         ideal
    10 |     1010 |      6 |  0.0852232297 |         ideal
    11 |     1111 |      8 |  0.1020158774 |         ideal
    12 |     1212 |      8 |  0.2985352080 |         nadir
    13 |     1313 |     12 |  0.0330976592 |         ideal
    14 |     1414 |     11 |  0.0617905817 |         ideal
    15 |     1515 |     10 |  0.0067750815 |         ideal
    16 |     1616 |     12 |  0.0331819151 |         ideal
    17 |     1717 |     18 |  0.0553438539 |         ideal
    18 |     1818 |     13 |  0.0407752379 |             f
    19 |     1919 |     15 |  0.0171706459 |         ideal
    20 |     2020 |     25 |  0.0239147690 |         ideal
    21 |     2121 |     22 |  0.0142947268 |             f
    22 |     2222 |     22 |  0.0105831576 |         ideal
    23 |     2323 |     25 |  0.0190247406 |             f
    24 |     2424 |     18 |  0.0069819856 |         ideal
    25 |     2525 |     21 |  0.0155169964 |             f
    26 |     2626 |     13 |  0.0044767408 |         ideal
    27 |     2727 |     23 |  0.0037264960 |         ideal
    28 |     2828 |     21 |  0.0115602792 |             f
    29 |     2929 |     19 |  0.0372955269 |             f
    30 |     3030 |     15 |  0.0089833036 |         ideal
    31 |     3131 |     22 |  0.0039535439 |         ideal
    32 |     3232 |     23 |  0.0136429014 |             f
    33 |     3333 |     26 |  0.0089633055 |         ideal
    34 |     3434 |     29 |  0.0145965789 |             f
    35 |     3535 |     28 |  0.0151894811 |             f
    36 |     3636 |     33 |  0.0028915847 |         nadir
    37 |     3737 |     33 |  0.0081300195 |         ideal
    38 |     3838 |     31 |  0.0033152056 |         ideal
    39 |     3939 |     33 |  0.0125781343 |             f
    40 |     4040 |     33 |  0.0026264303 |         nadir
    41 |     4141 |     29 |  0.0129694831 |             f
    42 |     4242 |     30 |  0.0078228833 |             f
    43 |     4343 |     30 |  0.0065477932 |         ideal
    44 |     4444 |     29 |  0.0071325432 |             f
